"B70","41.5","25.7","32.7"
"B71","45.8","22","32.1"
"B72","44.3","25.3","30.4"
"B73","30.5","31.3","38.2"
"B74","33","30.4","36.7"
"B75","45.4","25.1","29.5"
"B76","46.2","24.2","29.6"
"B77","45.2","23.1","31.7"
"B78","44.9","22","33.1"
"B79","48.4","25.3","26.3"
"B80","37.3","30.1","32.6"
"B81","45","30.2","24.9"
"B82","41.3","33.7","25"
"B83","32.2","33.9","33.9"
"B84","35.8","28.7","35.5"
"B85","43.3","27.7","29"
"B86","35.6","25.4","38.9"
"B87","35.1","26.6","38.2"
"B88","37.2","26.9","35.9"
"B89","39.7","26.3","34"
"B90","37.2","28.5","34.3"
"B91","35.8","34.3","29.8"
"B92","34","31.1","34.9"
"B93","38.6","30.9","30.5"
"B94","37.9","26","36.1"
"B95","38.1","25.8","36.1"
"B96","39.1","26.7","34.2"
"B97","32.3","33.7","34"
"B98","44.7","22.8","32.5"
"B99","45.2","23.6","31.2"
"C00","38.7","30.8","30.6"
"C01","27.2","38.6","34.3"
"C02","37.9","24.8","37.3"
"C03","39.9","34.6","25.5"
"C04","41","30.4","28.7"
"C05","43.5","28.5","28"
"C06","40.3","32.7","27"
"C07","35.1","42.5","22.5"
"C08","33.3","45.7","20.9"
"C09","35.3","47.2","17.5"
"C10","40.6","31","28.3"
"C11","39.4","31.5","29.1"
"C12","38.3","30.2","31.5"
"C13","46.1","25.7","28.2"
"C14","45.9","26.9","27.2"
"C15","40.6","29.6","29.7"
"C16","41.9","28.8","29.3"
"C17","42.3","28.3","29.4"
"C18","42.4","28.4","29.2"
"C19","40.5","29.4","30.1"
"C20","41","30","29"
"C21","45.3","20.6","34"
"C22","45.1","20.5","34.4"
"C23","43.2","25.5","31.3"
"C24","41.7","27.1","31.2"
"C25","43.2","25.3","31.5"
"C26","40.7","26.4","33"
"C27","35","26.9","38.2"
"C28","40.5","27.3","32.2"
"C29","37.3","25.8","36.9"
"C30","47.1","19.2","33.8"
"C31","43.1","22","34.9"
"C32","53.4","20.9","25.7"
"C33","44.1","19.5","36.4"
"C34","44.8","18.6","36.6"
"C35","43.1","19.7","37.2"
"C36","39","25.9","35.1"
"C37","38.7","29","32.3"
"C38","39.7","12.7","47.7"
"C39","40.8","18.9","40.3"
"C40","40.5","31.2","28.3"
"C41","47.1","23.8","29.1"
"C42","39.5","36.8","23.8"
"C43","43.9","36.1","20.1"
"C44","40.1","31.1","28.8"
"C45","40.9","29.1","30.1"
"C46","36.6","30.2","33.2"
"C47","35.7","38","26.3"
"C48","36.8","33.4","29.8"
"C49","35.1","36.9","28"
"C50","42.5","24.1","33.3"
"C51","47.6","18.8","33.6"
"C52","45.2","19.5","35.3"
"C53","42.9","27.2","29.9"
"C54","41","25.3","33.7"
"C55","42.2","23.3","34.4"
"C56","26.8","36.4","36.9"
"C57","48.3","15.6","36.1"
"C58","42.8","19.4","37.8"
"C59","39.6","20.7","39.7"
"C60","38.5","35.9","25.6"
"C61","49","24.1","26.9"
"C62","56.2","19.8","24"
"C63","39.3","29.1","31.6"
"C64","43.7","27.2","29.1"
"C65","36.9","39.7","23.4"
"C66","51.7","25.8","22.5"
"C67","28.4","50.6","21"
"C68","33.2","39.3","27.5"
"C69","34.5","40.1","25.3"
"C70","37.6","37.2","25.1"
"C71","38.5","34.1","27.3"
"C72","42.3","32.7","25"
"C73","36.5","34.8","28.6"
"C74","38.9","35.4","25.6"
"C75","36.2","38.2","25.6"
"C76","34.4","43.2","22.4"
"C77","36.8","38.4","24.8"
"C78","36.6","39.4","24"
"C79","45.6","29.9","24.5"
"C80","37.1","37.7","25.2"
"C81","38.6","41.5","20"
"C82","37.3","34.1","28.6"
"C83","39","34.8","26.1"
"C84","34.6","42.1","23.2"
"C85","32.2","44.7","23.1"
"C86","40.4","32.4","27.2"
"C87","42.8","36.3","20.8"
"C88","35.3","41.5","23.3"
"C89","31.5","34.5","34.1"
"C90","33.2","45.4","21.4"
"C91","38.6","36.4","25"
"C92","33.4","45.6","21"
"C93","33.1","45.6","21.4"
"C94","31.6","46.1","22.3"
"C95","31.1","46.1","22.8"
"C96","36.2","41.3","22.5"
"C97","37.3","40.3","22.4"
"C98","33.5","45.3","21.1"
"C99","36.7","40","23.3"
"D00","40","34.3","25.7"
"D01","35.3","29.4","35.3"
"D02","38.1","34.5","27.4"
"D03","38.8","31.1","30.1"
"D04","35.2","31.2","33.5"
"D05","40.2","31.2","28.6"
"D06","40.5","35.5","24"
"D07","43.5","28.7","27.8"
"D08","47.5","20.8","31.7"
"D09","51.5","20.5","28"
"D10","38","39","23"
"D11","39.3","38.7","22"
"D12","33.4","43.1","23.5"
"D13","21.9","59.5","18.7"
"D14","13.1","75","11.9"
"D15","40.1","36.1","23.8"
"D16","37.9","38.4","23.7"
"D17","37.1","39.2","23.7"
"D18","34.2","40.7","25.2"
"D19","33.3","41.7","25"
"D20","39.5","36.6","23.9"
"D21","36.8","40.3","22.9"
"D22","30.2","44.4","25.4"
"D23","36.9","40.3","22.7"
"D24","40.5","30.8","28.7"
"D25","36.1","43.4","20.5"
"D26","35.2","45.3","19.5"
"D27","32.4","47.8","19.8"
"D28","35.8","37","27.2"
"D29","30.8","38.2","31"
"D30","41.5","33.8","24.7"
"D31","41.4","33.5","25.1"
"D32","38.8","33.5","27.7"
"D33","40","37.8","22.2"
"D34","39.6","38.7","21.7"
