A97,"Dutch, Ilyin-Genevsky",1444,44.1,31.6,24.3
A98,"Dutch, Ilyin-Genevsky Variation with Qc2",367,45,27.5,27.5
A99,"Dutch, Ilyin-Genevsky Variation with b3",443,51.9,29.3,18.7
B00,Uncommon King's Pawn Opening,1703588,38.2,29.9,31.9
B01,Scandinavian,61468,41,27.2,31.8
B02,Alekhine's Defense,40307,37.8,29,33.2
B03,Alekhine's Defense,21760,40.4,30.8,28.8
B04,"Alekhine's Defense, Modern",12617,41,32.8,26.2
B05,"Alekhine's Defense, Modern",5803,42.5,31,26.5
B06,Robatsch,51579,37.3,28.1,34.5
B07,Pirc,55390,40.7,29.5,29.8
B08,"Pirc, Classical",9998,35.8,32.9,31.3
B09,"Pirc, Austrian Attack",9469,43.2,28.3,28.5
B10,Caro-Kann,121780,37.3,33.1,29.6
B11,"Caro-Kann, Two Knights, 3...Bg4",4465,35.7,35.1,29.2
B12,Caro-Kann Defense,98036,37.3,33.6,29.1
B13,"Caro-Kann, Exchange",25989,35.4,34.5,30.2
B14,"Caro-Kann, Panov-Botvinnik Attack",8979,38.2,35.2,26.6
B15,Caro-Kann,29879,35.5,36.1,28.4
B16,"Caro-Kann, Bronstein-Larsen Variation",3820,39.5,29.6,30.9
B17,"Caro-Kann, Steinitz Variation",10959,36,39,25
B18,"Caro-Kann, Classical",20455,33.8,39.4,26.7
B19,"Caro-Kann, Classical",8797,33.9,43.2,23
B20,Sicilian,705205,36.1,29.7,34.2
B21,"Sicilian, 2.f4 and 2.d4",7647,34,25.3,40.7
B22,"Sicilian, Alapin",55019,34.9,32.9,32.2
B23,"Sicilian, Closed",75601,35.8,27.1,37.1
B24,"Sicilian, Closed",21467,32.4,29.2,38.4
B25,"Sicilian, Closed",13471,30.3,31.4,38.3
B26,"Sicilian, Closed, 6.Be3",6719,30.7,30.3,39
B27,Sicilian,532064,36.5,30.2,33.4
B28,"Sicilian, O'Kelly Variation",8172,37.1,26,37
B29,"Sicilian, Nimzovich-Rubinstein",4839,39,30.8,30.3
B30,Sicilian,165947,36.7,30.5,32.8
