B83,6430,32.2,33.9,33.9
B84,9570,35.8,28.7,35.5
B85,224,43.3,27.7,29
B86,2052,35.6,25.4,38.9
B87,3490,35.1,26.6,38.2
B88,6130,37.2,26.9,35.9
B89,4256,39.7,26.3,34
B90,89480,37.2,28.5,34.3
B91,3391,35.8,34.3,29.8
B92,19247,34,31.1,34.9
B93,5885,38.6,30.9,30.5
B94,19325,37.9,26,36.1
B95,16679,38.1,25.8,36.1
B96,13531,39.1,26.7,34.2
B97,2938,32.3,33.7,34
B98,5369,44.7,22.8,32.5
B99,3367,45.2,23.6,31.2
C00,225269,38.7,30.8,30.6
C01,22625,27.2,38.6,34.3
C02,30007,37.9,24.8,37.3
C03,55388,39.9,34.6,25.5
C04,2863,41,30.4,28.7
C05,22564,43.5,28.5,28
C06,8341,40.3,32.7,27
C07,15838,35.1,42.5,22.5
C08,4735,33.3,45.7,20.9
C09,2695,35.3,47.2,17.5
C10,80934,40.6,31,28.3
C11,30585,39.4,31.5,29.1
C12,5054,38.3,30.2,31.5
C13,7509,46.1,25.7,28.2
C14,3943,45.9,26.9,27.2
C15,39777,40.6,29.6,29.7
C16,28616,41.9,28.8,29.3
C17,19816,42.3,28.3,29.4
C18,13626,42.4,28.4,29.2
C19,11251,40.5,29.4,30.1
C20,404934,41,30,29
C21,6372,45.3,20.6,34
C22,3101,45.1,20.5,34.4
C23,15935,43.2,25.5,31.3
C24,11142,41.7,27.1,31.2
C25,17961,43.2,25.3,31.5
C26,13070,40.7,26.4,33
C27,804,35,26.9,38.2
C28,3572,40.5,27.3,32.2
C29,2823,37.3,25.8,36.9
C30,16179,47.1,19.2,33.8
C31,2790,43.1,22,34.9
C32,421,53.4,20.9,25.7
C33,8584,44.1,19.5,36.4
C34,6603,44.8,18.6,36.6
C35,796,43.1,19.7,37.2
C36,1196,39,25.9,35.1
C37,31,38.7,29,32.3
C38,363,39.7,12.7,47.7
C39,901,40.8,18.9,40.3
C40,345964,40.5,31.2,28.3
C41,16051,47.1,23.8,29.1
C42,37647,39.5,36.8,23.8
C43,5309,43.9,36.1,20.1
C44,289979,40.1,31.1,28.8
C45,27139,40.9,29.1,30.1
C46,25302,36.6,30.2,33.2
C47,8592,35.7,38,26.3
C48,11776,36.8,33.4,29.8
C49,4536,35.1,36.9,28
C50,70415,42.5,24.1,33.3
C51,3692,47.6,18.8,33.6
C52,1469,45.2,19.5,35.3
C53,15674,42.9,27.2,29.9
C54,5097,41,25.3,33.7
C55,28150,42.2,23.3,34.4
C56,1872,26.8,36.4,36.9
C57,7477,48.3,15.6,36.1
C58,3675,42.8,19.4,37.8
C59,1433,39.6,20.7,39.7
C60,151365,38.5,35.9,25.6
C61,2446,49,24.1,26.9
C62,5775,56.2,19.8,24
C63,6185,39.3,29.1,31.6
C64,5774,43.7,27.2,29.1
C65,19974,36.9,39.7,23.4
C66,1781,51.7,25.8,22.5
C67,8241,28.4,50.6,21
C68,14225,33.2,39.3,27.5
C69,9592,34.5,40.1,25.3
C70,90701,37.6,37.2,25.1
C71,7940,38.5,34.1,27.3
C72,2498,42.3,32.7,25
C73,1292,36.5,34.8,28.6
C74,2870,38.9,35.4,25.6
C75,1724,36.2,38.2,25.6
C76,854,34.4,43.2,22.4
C77,77915,36.8,38.4,24.8
C78,65193,36.6,39.4,24
C79,1714,45.6,29.9,24.5
C80,7293,37.1,37.7,25.2
C81,817,38.6,41.5,20
C82,2367,37.3,34.1,28.6
C83,999,39,34.8,26.1
C84,43732,34.6,42.1,23.2
C85,2483,32.2,44.7,23.1
C86,1557,40.4,32.4,27.2
C87,1258,42.8,36.3,20.8
C88,39036,35.3,41.5,23.3
C89,3195,31.5,34.5,34.1
C90,24801,33.2,45.4,21.4
C91,3910,38.6,36.4,25
C92,22540,33.4,45.6,21
C93,1137,33.1,45.6,21.4
C94,4488,31.6,46.1,22.3
C95,4042,31.1,46.1,22.8
C96,9512,36.2,41.3,22.5
C97,6306,37.3,40.3,22.4
C98,966,33.5,45.3,21.1
C99,2540,36.7,40,23.3
D00,310727,40,34.3,25.7
D01,7841,35.3,29.4,35.3
D02,99824,38.1,34.5,27.4
D03,5984,38.8,31.1,30.1
D04,11286,35.2,31.2,33.5
D05,6301,40.2,31.2,28.6
D06,210129,40.5,35.5,24
D07,5717,43.5,28.7,27.8
D08,3620,47.5,20.8,31.7
D09,1369,51.5,20.5,28
D10,89251,38,39,23
D11,54218,39.3,38.7,22
D12,6721,33.4,43.1,23.5
D13,6711,21.9,59.5,18.7
D14,4466,13.1,75,11.9
D15,52260,40.1,36.1,23.8
D16,15957,37.9,38.4,23.7
D17,12869,37.1,39.2,23.7
D18,6699,34.2,40.7,25.2
D19,5515,33.3,41.7,25
D20,24765,39.5,36.6,23.9
D21,12566,36.8,40.3,22.9
D22,2040,30.2,44.4,25.4
D23,14645,36.9,40.3,22.7
D24,3273,40.5,30.8,28.7
D25,10417,36.1,43.4,20.5
D26,7176,35.2,45.3,19.5
D27,7634,32.4,47.8,19.8
D28,1502,35.8,37,27.2
D29,772,30.8,38.2,31
D30,91976,41.5,33.8,24.7
D31,69384,41.4,33.5,25.1
D32,7157,38.8,33.5,27.7
D33,4294,40,37.8,22.2
D34,4252,39.6,38.7,21.7
D35,52338,43.9,32.5,23.5
D36,1648,45.3,32.1,22.6
D37,57774,37.7,40.6,21.7
D38,8662,35.2,40.9,23.9
D39,577,30.2,36.9,32.9
D40,4837,37.6,42.3,20.2
D41,3390,37.9,45.1,17
D42,660,36.1,48.6,15.3
D43,37523,39.3,35.3,25.4
D44,3653,39.8,26.8,33.5
D45,30279,38.5,37.2,24.4
D46,11846,37.9,36.8,25.3
D47,8667,35.1,37.6,27.2
D48,2910,37.1,33.1,29.8
D49,811,40.2,36.5,23.3
D50,24751,42.8,32.9,24.3
D51,7021,42,29.3,28.7
D52,7237,39.7,32,28.3
D53,14548,42.3,35.8,21.9
D54,466,43.1,42.1,14.8
D55,13951,37.6,42.3,20.1
D56,2032,28.4,56.2,15.4
D57,379,31.1,51.7,17.2
D58,6794,29,49.3,21.7
D59,1373,20.8,53.4,25.8
D60,9920,40.4,38.9,20.7
D61,2293,43.4,37.6,18.9
D62,379,26.9,59.4,13.7
D63,4802,40.6,42,17.4
D64,646,47.7,34.8,17.5
D65,43,37.2,46.5,16.3
D66,2980,41,43.8,15.1
D67,1619,35,52.7,12.3
D68,890,32.7,54.7,12.6
D69,387,27.6,58.9,13.4
D70,857,46.2,30.8,23
D71,1810,37.6,39.8,22.7
D72,764,44.8,35.3,19.9
D73,1747,34.6,42,23.4
D74,2609,38.9,40.9,20.2
D75,367,31.3,45.5,23.2
D76,1380,35.6,43.4,21
D77,4890,34.3,43.8,21.9
D78,4785,36.1,46,17.9
D79,2409,26.9,56.6,16.5
D80,40695,34.9,37.6,27.5
D81,482,39,34.6,26.3
D82,3738,33.9,40.8,25.3
D83,1477,34.4,41,24.6
D84,365,33.4,43.8,22.7
D85,19047,35.3,37.5,27.2
D86,6379,34.3,36.6,29.1
D87,2909,36.1,35.7,28.2
D88,1217,37.5,36.6,25.9
D89,839,35,33.8,31.1
D90,13584,35.4,38,26.6
D91,4540,33.9,37.6,28.5
D92,2902,34.3,37.6,28.1
D93,1590,29.7,37.7,32.6
D94,4247,29.1,35.8,35.1
D95,654,36.5,37.8,25.7
D96,4335,38,36.6,25.4
D97,3591,36.5,37.8,25.7
D98,632,34,40.2,25.8
D99,209,39.7,34.9,25.4
E00,188016,34.6,38.7,26.7
E01,6299,36.8,40.1,23.1
E02,519,29.3,43.5,27.2
E03,47,31.9,44.7,23.4
E04,5666,34.2,42.1,23.7
E05,442,48,33.9,18.1
E06,10775,40.5,42,17.5
E07,2283,46.8,36.3,17
E08,1561,50.4,35.6,14
E09,1697,46.9,37.1,16
E10,105114,34.1,41.6,24.4
E11,19877,35.6,40.7,23.6
E12,46702,33.1,42.4,24.4
E13,664,36.1,32.5,31.3
E14,3774,33,40.1,26.9
E15,24452,31.4,46.3,22.3
E16,2669,37.4,41.2,21.4
E17,8065,32.4,50,17.7
E18,7176,29,53.1,17.9
E19,2167,26,56.5,17.5
E20,73622,33.5,36.7,29.7
E21,7133,34.2,36.8,29
E22,875,35.4,32.9,31.7
E23,281,36.7,37.7,25.6
E24,3130,33.4,27.3,39.3
E25,1375,33.3,40.5,26.2
E26,1229,35.2,27.7,37.1
E27,437,34.6,24,41.4
E28,435,37.9,25.1,37
E29,599,32.2,30.4,37.4
E30,3475,32.7,29.2,38.1
E31,458,29.3,37.1,33.6
E32,24199,33.2,39.3,27.6
E33,1364,36.5,33.6,29.9
E34,4014,33.6,42.7,23.7
E35,1371,34.8,42.2,23
E36,1151,33.6,43.4,22.9
E37,599,33.4,49.2,17.4
E38,6573,34.8,36.1,29.1
E39,2212,29.2,43.7,27
E40,28648,33.7,37.6,28.7
E41,8374,34.7,37.7,27.7
E42,2698,37.7,37.4,24.9
E43,5106,34.8,34.1,31.2
E44,2833,36.6,35,28.3
E45,1100,33.7,36.2,30.1
E46,13365,31.5,39.6,28.9
E47,8580,32.2,40.3,27.5
E48,5632,30.9,42,27.1
E49,630,36.3,30.3,33.3
E50,913,30.3,41.4,28.3
E51,1667,32.2,40.7,27.1
E52,929,28.8,45.4,25.7
E53,5980,29.6,45.3,25.2
E54,2162,27.9,49.7,22.4
E55,930,24.1,51,24.9
E56,2756,32.1,42.2,25.7
E57,26,50,42.3,7.7
E58,2154,31.8,40.8,27.4
E59,1316,31.5,42.9,25.6
E60,155644,38.8,32.8,28.5
E61,133970,39,32.1,29
E62,2327,43.2,29.1,27.7
E63,6620,37.6,35.9,26.5
E64,1285,42.4,33,24.6
E65,2574,43,34.1,22.9
E66,1203,42.9,30.2,26.9
E67,6659,41.5,31.5,26.9
E68,7898,42.2,33.8,24
E69,4397,45.7,32.1,22.2
E70,83515,41.2,29.7,29.1
E71,4051,47.1,27.2,25.7
E72,537,41,27.4,31.7
E73,18792,42.2,31,26.8
E74,2614,41.8,33.7,24.4
E75,578,38.2,35.8,26
E76,7265,44.1,25.1,30.9
E77,780,37.6,29.6,32.8
E78,362,38.1,39.5,22.4
E79,252,36.9,43.3,19.8
E80,23953,42.8,28,29.2
E81,21180,42.3,27.7,30
E82,849,38.3,31.6,30.2
E83,3729,38.2,27.7,34.1
E84,2173,40,30.6,29.4
E85,5285,44.6,26.8,28.6
E86,1088,43.8,30.1,26
E87,3321,43.8,26.6,29.6
E88,1348,42.5,26.8,30.7
E89,212,36.8,32.1,31.1
E90,43354,41.4,31.4,27.2
E91,57980,40.2,32.1,27.7
E92,41610,40.1,32.9,27.1
E93,1484,39.6,28.4,32
E94,25558,41.9,31.3,26.8
E95,2540,37,36.3,26.7
E96,394,33.5,43.7,22.8
E97,18337,43,29,28
E98,6550,43.7,26.4,30
E99,806,40.9,30.6,28.4
